,Survived,Age,Pclass,Sex,Number of parernts and children,Fare,Number of sublings
1066,1,15.0,2,0,2,39.0,0
1067,1,20.0,2,0,0,36.75,0
1068,0,54.0,1,1,0,55.4417,1
1069,1,36.0,2,0,3,39.0,0
1070,1,64.0,1,0,2,83.1583,0
1071,0,30.0,2,1,0,13.0,0
1072,0,37.0,1,1,1,83.1583,1
1073,1,18.0,1,0,0,53.1,1
1074,0,29.881137667304014,3,1,0,7.75,0
1075,1,27.0,1,0,1,247.5208,1
1076,0,40.0,2,1,0,16.0,0
1077,1,21.0,2,0,1,21.0,0
1078,0,17.0,3,1,0,8.05,2
1079,1,29.881137667304014,3,0,2,69.55,8
1080,0,40.0,2,1,0,13.0,0
1081,0,34.0,2,1,0,26.0,1
1082,0,29.881137667304014,1,1,0,26.0,0
1083,0,11.5,3,1,1,14.5,1
1084,0,61.0,2,1,0,12.35,0
1085,0,8.0,2,1,2,32.5,0
1086,0,33.0,3,1,0,7.8542,0
1087,0,6.0,1,1,2,134.5,0
1088,1,18.0,3,0,0,7.775,0
1089,0,23.0,2,1,0,10.5,0
1090,1,29.881137667304014,3,0,0,8.1125,0
1091,1,29.881137667304014,3,0,0,15.5,0
1092,0,0.33,3,1,2,14.4,0
1093,0,47.0,1,1,0,227.525,1
1094,1,8.0,2,0,1,26.0,1
1095,0,25.0,2,1,0,10.5,0
1096,0,29.881137667304014,1,1,0,25.7417,0
1097,1,35.0,3,0,0,7.75,0
1098,0,24.0,2,1,0,10.5,0
1099,1,33.0,1,0,0,27.7208,0
1100,0,25.0,3,1,0,7.8958,0
1101,0,32.0,3,1,0,22.525,0
1102,0,29.881137667304014,3,1,0,7.05,0
1103,0,17.0,2,1,0,73.5,0
1104,1,60.0,2,0,0,26.0,1
1105,1,38.0,3,0,2,7.775,4
1106,0,42.0,1,1,0,42.5,0
1107,1,29.881137667304014,3,0,0,7.8792,0
1108,0,57.0,1,1,1,164.8667,1
1109,1,50.0,1,0,1,211.5,1
1110,0,29.881137667304014,3,1,0,8.05,0
1111,1,30.0,2,0,0,13.8583,1
1112,0,21.0,3,1,0,8.05,0
1113,1,22.0,2,0,0,10.5,0
1114,0,21.0,3,1,0,7.7958,0
1115,1,53.0,1,0,0,27.4458,0
1116,1,29.881137667304014,3,0,2,15.2458,0
1117,0,23.0,3,1,0,7.7958,0
1118,1,29.881137667304014,3,0,0,7.75,0
1119,0,40.5,3,1,0,15.1,0
1120,0,36.0,2,1,0,13.0,0
1121,0,14.0,2,1,0,65.0,0
1122,1,21.0,1,0,0,26.55,0
1123,0,21.0,3,1,0,6.4958,1
1124,0,29.881137667304014,3,1,0,7.8792,0
1125,0,39.0,1,1,0,71.2833,1
1126,0,20.0,3,1,0,7.8542,0
1127,0,64.0,1,1,0,75.25,1
1128,0,20.0,3,1,0,7.225,0
1129,1,18.0,2,0,1,13.0,1
1130,1,48.0,1,0,0,106.425,1
1131,1,55.0,1,0,0,27.7208,0
1132,1,45.0,2,0,2,30.0,0
1133,0,45.0,1,1,1,134.5,1
1134,0,29.881137667304014,3,1,0,7.8875,0
1135,0,29.881137667304014,3,1,2,23.45,1
1136,0,41.0,1,1,0,51.8625,1
1137,1,22.0,2,0,0,21.0,0
1138,0,42.0,2,1,1,32.5,1
1139,1,29.0,2,0,0,26.0,1
1140,1,29.881137667304014,3,0,0,14.4542,1
1141,1,0.92,2,0,2,27.75,1
1142,0,20.0,3,1,0,7.925,0
1143,0,27.0,1,1,0,136.7792,1
1144,0,24.0,3,1,0,9.325,0
1145,0,32.5,3,1,0,9.5,0
1146,0,29.881137667304014,3,1,0,7.55,0
1147,0,29.881137667304014,3,1,0,7.75,0
1148,0,28.0,3,1,0,8.05,0
1149,1,19.0,2,0,0,13.0,0
1150,0,21.0,3,1,0,7.775,0
1151,0,36.5,3,1,0,17.4,1
1152,0,21.0,3,1,0,7.8542,0
1153,1,29.0,2,0,2,23.0,0
1154,1,1.0,3,0,1,12.1833,1
1155,0,30.0,2,1,0,12.7375,0
1156,0,29.881137667304014,3,1,0,7.8958,0
1157,0,29.881137667304014,1,1,0,0.0,0
1158,0,29.881137667304014,3,1,0,7.55,0
1159,1,29.881137667304014,3,0,0,8.05,0
1160,0,17.0,3,1,0,8.6625,0
1161,0,46.0,1,1,0,75.2417,0
1162,0,29.881137667304014,3,1,0,7.75,0
1163,1,26.0,1,0,0,136.7792,1
1164,1,29.881137667304014,3,0,0,15.5,1
1165,0,29.881137667304014,3,1,0,7.225,0
1166,1,20.0,2,0,0,26.0,1
1167,0,28.0,2,1,0,10.5,0
1168,0,40.0,2,1,0,26.0,1
1169,0,30.0,2,1,0,21.0,1
1170,0,22.0,2,1,0,10.5,0
1171,1,23.0,3,0,0,8.6625,0
1172,0,0.75,3,1,1,13.775,1
1173,1,29.881137667304014,3,0,0,7.75,0
1174,1,9.0,3,0,1,15.2458,1
1175,1,2.0,3,0,1,20.2125,1
1176,0,36.0,3,1,0,7.25,0
1177,0,29.881137667304014,3,1,0,7.25,0
1178,0,24.0,1,1,0,82.2667,1
1179,0,29.881137667304014,3,1,0,7.2292,0
1180,0,29.881137667304014,3,1,0,8.05,0
1181,0,29.881137667304014,1,1,0,39.6,0
1182,1,30.0,3,0,0,6.95,0
1183,0,29.881137667304014,3,1,0,7.2292,0
1184,0,53.0,1,1,1,81.8583,1
1185,0,36.0,3,1,0,9.5,0
1186,0,26.0,3,1,0,7.8958,0
1187,1,1.0,2,0,2,41.5792,1
1188,0,29.881137667304014,3,1,0,21.6792,2
1189,0,30.0,1,1,0,45.5,0
1190,0,29.0,3,1,0,7.8542,0
1191,0,32.0,3,1,0,7.775,0
1192,0,29.881137667304014,2,1,0,15.0458,0
1193,0,43.0,2,1,1,21.0,0
1194,0,24.0,3,1,0,8.6625,0
1195,1,29.881137667304014,3,0,0,7.75,0
1196,1,64.0,1,0,1,26.55,1
1197,0,30.0,1,1,2,151.55,1
1198,0,0.83,3,1,1,9.35,0
1199,0,55.0,1,1,1,93.5,1
1200,1,45.0,3,0,0,14.1083,1
1201,0,18.0,3,1,0,8.6625,0
1202,0,22.0,3,1,0,7.225,0
1203,0,29.881137667304014,3,1,0,7.575,0
1204,1,37.0,3,0,0,7.75,0
1205,1,55.0,1,0,0,135.6333,0
1206,1,17.0,3,0,0,7.7333,0
1207,0,57.0,1,1,0,146.5208,1
1208,0,19.0,2,1,0,10.5,0
1209,0,27.0,3,1,0,7.8542,0
1210,0,22.0,2,1,0,31.5,2
1211,0,26.0,3,1,0,7.775,0
1212,0,25.0,3,1,0,7.2292,0
1213,0,26.0,2,1,0,13.0,0
1214,0,33.0,1,1,0,26.55,0
1215,1,39.0,1,0,0,211.3375,0
1216,0,23.0,3,1,0,7.05,0
1217,1,12.0,2,0,1,39.0,2
1218,0,46.0,1,1,0,79.2,0
1219,0,29.0,2,1,0,26.0,1
1220,0,21.0,2,1,0,13.0,0
1221,1,48.0,2,0,2,36.75,0
1222,0,39.0,1,1,0,29.7,0
1223,0,29.881137667304014,3,1,0,7.225,0
1224,1,19.0,3,0,1,15.7417,1
1225,0,27.0,3,1,0,7.8958,0
1226,0,30.0,1,1,0,26.0,0
1227,0,32.0,2,1,0,13.0,0
1228,0,39.0,3,1,2,7.2292,0
1229,0,25.0,2,1,0,31.5,0
1230,0,29.881137667304014,3,1,0,7.2292,0
1231,0,18.0,2,1,0,10.5,0
1232,0,32.0,3,1,0,7.5792,0
1233,0,29.881137667304014,3,1,9,69.55,1
1234,1,58.0,1,0,1,512.3292,0
1235,0,29.881137667304014,3,1,1,14.5,1
1236,1,16.0,3,0,0,7.65,0
1237,0,26.0,2,1,0,13.0,0
1238,1,38.0,3,0,0,7.2292,0
1239,0,24.0,2,1,0,13.5,0
1240,1,31.0,2,0,0,21.0,0
1241,1,45.0,1,0,1,63.3583,0
1242,0,25.0,2,1,0,10.5,0
1243,0,18.0,2,1,0,73.5,0
1244,0,49.0,2,1,2,65.0,1
1245,1,0.17,3,0,2,20.575,1
1246,0,50.0,1,1,0,26.0,0
1247,1,59.0,1,0,0,51.4792,2
1248,0,29.881137667304014,3,1,0,7.8792,0
1249,0,29.881137667304014,3,1,0,7.75,0
1250,1,30.0,3,0,0,15.55,1
1251,0,14.5,3,1,2,69.55,8
1252,1,24.0,2,0,1,37.0042,1
1253,1,31.0,2,0,0,21.0,0
1254,0,27.0,3,1,0,8.6625,0
1255,1,25.0,1,0,0,55.4417,1
1256,1,29.881137667304014,3,0,9,69.55,1
1257,0,29.881137667304014,3,1,0,14.4583,1
1258,1,22.0,3,0,0,39.6875,0
1259,1,45.0,1,0,1,59.4,0
1260,0,29.0,2,1,0,13.8583,0
1261,0,21.0,2,1,0,11.5,1
1262,1,31.0,1,0,0,134.5,0
1263,0,49.0,1,1,0,0.0,0
1264,0,44.0,2,1,0,13.0,0
1265,1,54.0,1,0,1,81.8583,1
1266,1,45.0,1,0,0,262.375,0
1267,1,22.0,3,0,0,8.6625,2
1268,0,21.0,2,1,0,11.5,0
1269,0,55.0,1,1,0,50.0,0
1270,0,5.0,3,1,2,31.3875,4
1271,0,29.881137667304014,3,1,0,7.75,0
1272,0,26.0,3,1,0,7.8792,0
1273,1,29.881137667304014,3,0,0,14.5,0
1274,1,19.0,3,0,0,16.1,1
1275,0,29.881137667304014,2,1,0,12.875,0
1276,1,24.0,2,0,2,65.0,1
1277,0,24.0,3,1,0,7.775,0
1278,0,57.0,2,1,0,13.0,0
1279,0,21.0,3,1,0,7.75,0
1280,0,6.0,3,1,1,21.075,3
1281,0,23.0,1,1,0,93.5,0
1282,1,51.0,1,0,1,39.4,0
1283,0,13.0,3,1,2,20.25,0
1284,0,47.0,2,1,0,10.5,0
1285,0,29.0,3,1,1,22.025,3
1286,1,18.0,1,0,0,60.0,1
1287,0,24.0,3,1,0,7.25,0
1288,1,48.0,1,0,1,79.2,1
1289,0,22.0,3,1,0,7.775,0
1290,0,31.0,3,1,0,7.7333,0
1291,1,30.0,1,0,0,164.8667,0
1292,0,38.0,2,1,0,21.0,1
1293,1,22.0,1,0,1,59.4,0
1294,0,17.0,1,1,0,47.1,0
1295,0,43.0,1,1,0,27.7208,1
1296,0,20.0,2,1,0,13.8625,0
1297,0,23.0,2,1,0,10.5,1
1298,0,50.0,1,1,1,211.5,1
1299,1,29.881137667304014,3,0,0,7.7208,0
1300,1,3.0,3,0,1,13.775,1
1301,1,29.881137667304014,3,0,0,7.75,0
1302,1,37.0,1,0,0,90.0,1
1303,1,28.0,3,0,0,7.775,0
1304,0,29.881137667304014,3,1,0,8.05,0
1305,1,39.0,1,0,0,108.9,0
1306,0,38.5,3,1,0,7.25,0
1307,0,29.881137667304014,3,1,0,8.05,0
1308,0,29.881137667304014,3,1,1,22.3583,1
